event_id,source_id,source_sha256,source_url,license_num,license_number,date,archive_date,document_vote_date,page_start,page_end,item_number,event_type,action_subtype,event_subtype,outcome,outcome_text,decision_bearing,board_granted_application,completed_sale_verified,actions,address,alcohol_license_explicit,ambiguity_notes,ancillary_stock_pledge_recipient,candidate_id,canonical_source_id,dba_after,dba_before,disposition,entity_after,entity_before,entity_change_source_quote,entity_conversion_explicit,entity_dba,entity_name,equity_change_completion_verified,equity_percentage_stated,from_address,heading,item,item_text,item_text_sha256,license_category_scope,license_id_raw,license_num_as_supplied,license_number_raw,license_numbers,license_scope,licensee,licensee_dba,licensee_heading,new_equity_holders,normalized_license_num,original_year_artifact,ownership_actions,ownership_scope,ownership_subject_entity,ownership_subject_scope,page,parties,parties_after,parties_before,prior_equity_holders,private_equity_control_inferred,review_status,share_count,source_hash,source_quote,source_urls,source_window,stock_action_wording,stock_pledge_recipient,to_address,transferee,transferee_dba,transferor,transferor_dba
BLB-2020-04-23-C006-ownership,BLB-2020-04-23,5a5411bed079abed909e9b39c0d787841d78f6c7402baa4d5d9d192972913869,"https://www.boston.gov/sites/default/files/file/2020/04/Board's Voting Agenda, April 23, 2020.pdf",LB139452,LB-139452,2020-04-23,2020-04-23,2020-04-23,2,3,6,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""stock_interest_change""]","569 575 COLUMBUS AVE ROXBURY, MA 02118",,"[""The source uses combined issuance/transfer wording; stock_interest_change records that explicit petition without asserting that both issuance and transfer separately occurred or identifying unnamed owners.""]",,BLB-2020-04-23-C006,BLB-2020-04-23,,,granted,,,,False,SRV RESTAURANT,"South End Partners, Inc.",False,,,,6,"6. South End Partners, Inc.
D/B/A: SRV RESTAURANT
   569 575 COLUMBUS AVE
   ROXBURY, MA 02118
   License #: LB 139452
   Holder of a Common Victualler (Restricted) 7 Day All Alcoholic Beverages License
has petitioned for Issuance/Transfer of Stock/New Stockholder. Lastly, has petitioned for
a change of Officers/Directors/Stockholders.
   Attorney: Marshall F. Newman
 GRANTED",4c270b5c43604af0b536f010e5252d1baabc90b4f55f68583eb84bd53beebece,,LB 139452,LB-139452,,,explicit_alcohol,,,,,LB139452,2020/ownership-interest-events.json,,licensee_entity,"South End Partners, Inc.",,2,,[],[],,,,,5a5411bed079abed909e9b39c0d787841d78f6c7402baa4d5d9d192972913869,"6. South End Partners, Inc.
D/B/A: SRV RESTAURANT
   569 575 COLUMBUS AVE
   ROXBURY, MA 02118
   License #: LB 139452
   Holder of a Common Victualler (Restricted) 7 Day All Alcoholic Beverages License
has petitioned for Issuance/Transfer of Stock/New Stockholder. Lastly, has petitioned for
a change of Officers/Directors/Stockholders.
   Attorney: Marshall F. Newman
 GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/04/Board's Voting Agenda, April 23, 2020.pdf""]",2020-2023,Issuance/Transfer of Stock/New Stockholder,,,,,,
BLB-2020-07-16-C007-ownership,BLB-2020-07-16,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf,LB379141,LB-379141,2020-07-16,2020-07-16,2020-07-16,2,2,7,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""ownership_interest_change"", ""stock_transfer""]","300 LOGAN AIRPORT TERMINAL C EAST BOSTON, MA 02128",,[],,BLB-2020-07-16-C007,BLB-2020-07-16,,,granted,,,,False,Shojo,"SSP America BOS, LLC",False,,,,7,"7. SSP America BOS, LLC
    D/B/A: Shojo
       300 LOGAN AIRPORT TERMINAL C
       EAST BOSTON, MA 02128
       License #: LB 379141
       Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages license has
    petitioned for change of Officers/Directors. Lastly, has petitioned for a change of
    ownership interest and transfer of stock.
GRANTED",dd68743853ef6b57a16a407ce3d458a160201cb59f3e465053c209304bf622b2,,LB 379141,LB-379141,,,explicit_alcohol,,,,,LB379141,2020/ownership-interest-events.json,,licensee_entity,"SSP America BOS, LLC",,2,,[],[],,,,,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,"7. SSP America BOS, LLC
    D/B/A: Shojo
       300 LOGAN AIRPORT TERMINAL C
       EAST BOSTON, MA 02128
       License #: LB 379141
       Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages license has
    petitioned for change of Officers/Directors. Lastly, has petitioned for a change of
    ownership interest and transfer of stock.
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf""]",2020-2023,,,,,,,
BLB-2020-07-16-C008-ownership,BLB-2020-07-16,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf,LB390565,LB-390565,2020-07-16,2020-07-16,2020-07-16,3,3,8,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""ownership_interest_change"", ""stock_transfer""]","300 LOGAN AIRPORT TERMINAL B EAST BOSTON, MA 02128",,[],,BLB-2020-07-16-C008,BLB-2020-07-16,,,granted,,,,False,Temazcal,"SSP America BOS, LLC",False,,,,8,"8. SSP America BOS, LLC
    D/B/A: Temazcal
       300 LOGAN AIRPORT TERMINAL B
       EAST BOSTON, MA 02128
       License #: LB 390565
       Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages license has
    petitioned for change of Officers/Directors. Lastly, has petitioned for a change of
    ownership interest and transfer of stock.
GRANTED",23e22ec737c814ffe828996c09ff5ed037b6be77066a503aab5ae5b724b114a5,,LB 390565,LB-390565,,,explicit_alcohol,,,,,LB390565,2020/ownership-interest-events.json,,licensee_entity,"SSP America BOS, LLC",,3,,[],[],,,,,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,"8. SSP America BOS, LLC
    D/B/A: Temazcal
       300 LOGAN AIRPORT TERMINAL B
       EAST BOSTON, MA 02128
       License #: LB 390565
       Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages license has
    petitioned for change of Officers/Directors. Lastly, has petitioned for a change of
    ownership interest and transfer of stock.
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf""]",2020-2023,,,,,,,
BLB-2020-07-16-C009-ownership,BLB-2020-07-16,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf,LB410009,LB-410009,2020-07-16,2020-07-16,2020-07-16,3,3,9,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""ownership_interest_change"", ""stock_transfer""]","LOGAN AIRPORT 300 TERMINAL C EAST BOSTON, MA 02128",,[],,BLB-2020-07-16-C009,BLB-2020-07-16,,,granted,,,,False,Wahlburgers,"SSP America BOS, LLC",False,,,,9,"9. SSP America BOS, LLC
    D/B/A: Wahlburgers
        LOGAN AIRPORT 300 TERMINAL C
       EAST BOSTON, MA 02128
       License #: LB 410009
       Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages license has
    petitioned for change of Officers/Directors. Lastly, has petitioned for a change of
    ownership interest and transfer of stock.
GRANTED",c67e21413b9c2a5109521b8fd27ddc0887c85941653f3de2fd7d3b91877286a5,,LB 410009,LB-410009,,,explicit_alcohol,,,,,LB410009,2020/ownership-interest-events.json,,licensee_entity,"SSP America BOS, LLC",,3,,[],[],,,,,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,"9. SSP America BOS, LLC
    D/B/A: Wahlburgers
        LOGAN AIRPORT 300 TERMINAL C
       EAST BOSTON, MA 02128
       License #: LB 410009
       Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages license has
    petitioned for change of Officers/Directors. Lastly, has petitioned for a change of
    ownership interest and transfer of stock.
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf""]",2020-2023,,,,,,,
BLB-2020-07-30-C004-ownership,BLB-2020-07-30,becc6ebac4622fd84a62e0b87a7bee5fce33b308e1e1890e54f90a3529b24097,https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%2C%20July%2030%2C%202020_2.pdf,LB99020,LB-99020,2020-07-30,2020-07-30,2020-07-30,2,2,3,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""stock_interest_change"", ""ownership_interest_change""]","8 PARK PLZ BOSTON, MA 02116",,[],,BLB-2020-07-30-C004,BLB-2020-07-30,,,granted,,,,False,P.F. CHANG'S CHINA BISTRO,"P.F. Chang's China Bistro, Inc.",False,,,,3,"3. P.F. Chang's China Bistro, Inc.
D/B/A: P.F. CHANG'S CHINA BISTRO
   8 PARK PLZ
   BOSTON, MA 02116
   License #: LB 99020
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
for a change of Officers/Directors/Stockholders. Lastly, has petitioned for a change of
stock interest and ownership interest.
   Attorney: Andrew F. Upton
GRANTED",36e5d6c256ea2a6244aa0d717fcb7fa2cd37984687a1b60641671c866e9011a5,,LB 99020,LB-99020,,,explicit_alcohol,,,,,LB99020,2020/ownership-interest-events.json,,licensee_entity,"P.F. Chang's China Bistro, Inc.",,2,,[],[],,,,,becc6ebac4622fd84a62e0b87a7bee5fce33b308e1e1890e54f90a3529b24097,"3. P.F. Chang's China Bistro, Inc.
D/B/A: P.F. CHANG'S CHINA BISTRO
   8 PARK PLZ
   BOSTON, MA 02116
   License #: LB 99020
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
for a change of Officers/Directors/Stockholders. Lastly, has petitioned for a change of
stock interest and ownership interest.
   Attorney: Andrew F. Upton
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%2C%20July%2030%2C%202020_2.pdf""]",2020-2023,,,,,,,
BLB-2020-08-20-C007-ownership,BLB-2020-08-20,dd1f94605101773c5ed22fda2d0e0b0723789a816755c9b63e847b8f63cff632,https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20August%2020%2C%202020.pdf,LB102015,LB-102015,2020-08-20,2020-08-20,2020-08-20,2,2,7,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""stock_interest_change""]","170 SALEM ST BOSTON, MA 02113",,"[""The source uses combined issuance/transfer wording; stock_interest_change records that explicit petition without asserting that both issuance and transfer separately occurred or identifying unnamed owners."", ""The stock pledge is ancillary to the explicit stock-interest application. It is not a license pledge and does not establish that the recipient owns shares.""]",Rahul Jashvant Bilodariya,BLB-2020-08-20-C007,BLB-2020-08-20,,,granted,,,,False,SALEM MARKET,170 NORTHEND CORP.,False,,,,7,"7. 170 NORTHEND CORP.
D/B/A: SALEM MARKET
   170 SALEM ST
   BOSTON, MA 02113
   License #: LB 102015
   Holder of a Retail Package Store Wines & Malt Beverages License has petitioned for
issuance/transfer of stock/new stockholder. Lastly, has petitioned to pledge the stock to
Rahul Jashvant Bilodariya.
   Attorney: Thomas T. Truax
GRANTED",8d770783ba874350b3a642f65fe34e88e41aa9a7e1b29ec473c11cf7d7c235aa,,LB 102015,LB-102015,,,explicit_alcohol,,,,,LB102015,2020/ownership-interest-events.json,,licensee_entity,170 NORTHEND CORP.,,2,,[],[],,,,,dd1f94605101773c5ed22fda2d0e0b0723789a816755c9b63e847b8f63cff632,"7. 170 NORTHEND CORP.
D/B/A: SALEM MARKET
   170 SALEM ST
   BOSTON, MA 02113
   License #: LB 102015
   Holder of a Retail Package Store Wines & Malt Beverages License has petitioned for
issuance/transfer of stock/new stockholder. Lastly, has petitioned to pledge the stock to
Rahul Jashvant Bilodariya.
   Attorney: Thomas T. Truax
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20August%2020%2C%202020.pdf""]",2020-2023,Issuance/Transfer of Stock/New Stockholder,,,,,,
BLB-2020-08-20-C008-ownership,BLB-2020-08-20,dd1f94605101773c5ed22fda2d0e0b0723789a816755c9b63e847b8f63cff632,https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20August%2020%2C%202020.pdf,LB99654,LB-99654,2020-08-20,2020-08-20,2020-08-20,2,3,8,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""stock_interest_change""]","20 HUDSON ST BOSTON, MA 02111",,"[""The source uses combined issuance/transfer wording; stock_interest_change records that explicit petition without asserting that both issuance and transfer separately occurred or identifying unnamed owners.""]",,BLB-2020-08-20-C008,BLB-2020-08-20,,,granted,,,,False,GOLDEN LEAF,TRIPLE EIGHT MANAGEMENT CORP.,False,,,,8,"8. TRIPLE EIGHT MANAGEMENT CORP.
D/B/A: GOLDEN LEAF
   20 HUDSON ST
   BOSTON, MA 02111
   License #: LB 99654
   Holder of a Common Victualler 7 Day Wine & Malt Beverages License has petitioned
for a change of
   officers/directors/stockholders. Secondly, has petitioned for the issuance/transfer of
stock. Thirdly, has petitioned to
   change the manager of the licensed business From: Joseph Hing Fai Tsang To: Li Pei
Liang. Lastly, has petitioned to
   change the d/b/a of the licensed business From: Golden Leaf To: Station Bistro.
   Attorney: Ka yung Wong
GRANTED",d6338cd59591774b622d8acaba0132e659dc2b81d1e34eff82f22bdc93e08d8b,,LB 99654,LB-99654,,,explicit_alcohol,,,,,LB99654,2020/ownership-interest-events.json,,licensee_entity,TRIPLE EIGHT MANAGEMENT CORP.,,2,,[],[],,,,,dd1f94605101773c5ed22fda2d0e0b0723789a816755c9b63e847b8f63cff632,"8. TRIPLE EIGHT MANAGEMENT CORP.
D/B/A: GOLDEN LEAF
   20 HUDSON ST
   BOSTON, MA 02111
   License #: LB 99654
   Holder of a Common Victualler 7 Day Wine & Malt Beverages License has petitioned
for a change of
   officers/directors/stockholders. Secondly, has petitioned for the issuance/transfer of
stock. Thirdly, has petitioned to
   change the manager of the licensed business From: Joseph Hing Fai Tsang To: Li Pei
Liang. Lastly, has petitioned to
   change the d/b/a of the licensed business From: Golden Leaf To: Station Bistro.
   Attorney: Ka yung Wong
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20August%2020%2C%202020.pdf""]",2020-2023,issuance/transfer of stock,,,,,,
BLB-2020-09-17-C012-ownership,BLB-2020-09-17,160a48648163e546eeb051a84caf0033a7ae5642aa6ce9a23816f272b56a344c,https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20September%2017%2C%202020.pdf,LB99646,LB-99646,2020-09-17,2020-09-17,2020-09-17,4,5,5,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""stock_interest_change""]","204 TREMONT ST BOSTON, MA 02116",,[],,BLB-2020-09-17-C012,BLB-2020-09-17,,,granted,,,,False,Limelight,"W ENTERTAINMENT GROUP, INC.",False,,,,5,"5. W ENTERTAINMENT GROUP, INC.
D/B/A: Limelight
  204 TREMONT ST
  BOSTON, MA 02116
  License #: LB 99646
  Holder of a Common Victualler 7 Day Wine and Malt w/ Liqueurs
License has petitioned for new officers/directors/stockholders. Lastly, has
petitioned for a change of stock interest.
Attorney: Chase Liu
GRANTED",052b8b05af382e4a90f022201ec288c8c48d4ef2f117d7416258990c792f0c41,,LB 99646,LB-99646,,,explicit_alcohol,,,,,LB99646,2020/ownership-interest-events.json,,licensee_entity,"W ENTERTAINMENT GROUP, INC.",,4,,[],[],,,,,160a48648163e546eeb051a84caf0033a7ae5642aa6ce9a23816f272b56a344c,"5. W ENTERTAINMENT GROUP, INC.
D/B/A: Limelight
  204 TREMONT ST
  BOSTON, MA 02116
  License #: LB 99646
  Holder of a Common Victualler 7 Day Wine and Malt w/ Liqueurs
License has petitioned for new officers/directors/stockholders. Lastly, has
petitioned for a change of stock interest.
Attorney: Chase Liu
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20September%2017%2C%202020.pdf""]",2020-2023,,,,,,,
BLB-2020-09-17-C020-ownership,BLB-2020-09-17,160a48648163e546eeb051a84caf0033a7ae5642aa6ce9a23816f272b56a344c,https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20September%2017%2C%202020.pdf,,,2020-09-17,2020-09-17,2020-09-17,7,7,1,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,GRANTED,True,True,False,"[""stock_transfer""]",,,[],,BLB-2020-09-17-C020,BLB-2020-09-17,,,granted,,,,False,Our Zone,"H & L Boston, Inc.",False,,,,1,"1. H & L Boston, Inc. d/b/a Our Zone, 1581 Commonwealth Avenue,
          Brighton, MA 02135 has petitioned to transfer the stock of the
          corporation, and, secondly, has petitioned the remove officer Weihong
          Liu.
          GRANTED",a58ad974478361eba6b0f34c01420dfe33bf08133b7c8ab8fa5e66be10498f1a,,,,,,common_victualler_no_alcohol_stated,,,,,,2020/ownership-interest-events.json,,licensee_entity,"H & L Boston, Inc.",,7,,[],[],,,,,160a48648163e546eeb051a84caf0033a7ae5642aa6ce9a23816f272b56a344c,"1. H & L Boston, Inc. d/b/a Our Zone, 1581 Commonwealth Avenue,
          Brighton, MA 02135 has petitioned to transfer the stock of the
          corporation, and, secondly, has petitioned the remove officer Weihong
          Liu.
          GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/09/Board%27s%20Voting%20Agenda%2C%20September%2017%2C%202020.pdf""]",2020-2023,,,,,,,
BLB-2020-10-29-C018-ownership,BLB-2020-10-29,c0324aed6c39ec01763cf70c2172dedac66e00692e37787379105ab247e01835,https://www.boston.gov/sites/default/files/file/2020/10/Board%27s%20Voting%20Agenda%2010.29.20.pdf,LB99287,LB-99287,2020-10-29,2020-10-29,2020-10-29,4,4,5,ownership_interest,ownership_application_disposition,ownership_application_disposition,granted,Granted.,True,True,False,"[""ownership_interest_change""]","25 THOMSON PL BOSTON, MA 02210",,[],,BLB-2020-10-29-C018,BLB-2020-10-29,,,granted,,,,False,BARTACO,"BARTACO FORT POINT, LLC",False,,,,5,"5. BARTACO FORT POINT, LLC
       D/B/A: BARTACO
          25 THOMSON PL
          BOSTON, MA 02210
          License #: LB 99287
       Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
       for a change of ownership interest and a change of officers..
          Attorney: Joseph H. Devlin
Granted.",dc6fc5db6c4aef94ffc6b3793a9af6f53dcebab5cb7b66f2870004a3fb886cca,,LB 99287,LB-99287,,,explicit_alcohol,,,,,LB99287,2020/ownership-interest-events.json,,licensee_entity,"BARTACO FORT POINT, LLC",,4,,[],[],,,,,c0324aed6c39ec01763cf70c2172dedac66e00692e37787379105ab247e01835,"5. BARTACO FORT POINT, LLC
       D/B/A: BARTACO
          25 THOMSON PL
          BOSTON, MA 02210
          License #: LB 99287
       Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
       for a change of ownership interest and a change of officers..
          Attorney: Joseph H. Devlin
Granted.","[""https://www.boston.gov/sites/default/files/file/2020/10/Board%27s%20Voting%20Agenda%2010.29.20.pdf""]",2020-2023,,,,,,,
